lead_id,organization_name,website_url,canonical_domain,city,country,team_size_label,owner_name,owner_role,contact_channel,contact_url,status,priority,screening_unknowns,source_ids,notes
mb-lead-001,Main Feed Marketing,https://www.mainfeedmarketing.com,mainfeedmarketing.com,Grand Rapids,United States,2-9,Daniela Schrittenlocher,Founder & Owner,BUSINESS_EMAIL_PAGE,https://www.mainfeedmarketing.com/social-media-management-services-michigan,QUALIFIED_FOR_SCREENING,A,BUDGET_AUTHORITY;CURRENT_TOOL_STACK;RECURRING_REVISION_PAIN;WILLINGNESS_TO_PAY,mb-src-0001;mb-src-0002;mb-src-0003;mb-src-0004,"Owner-operated boutique agency in Grand Rapids specializing in organic social media management, static grid design, and recurring content retainers."
mb-lead-002,Little Media Agency,https://littlemediaagency.com,littlemediaagency.com,Birmingham,United Kingdom,2-9,Sara Fleyfel,Founder & Director,CONTACT_FORM,https://littlemediaagency.com/contact,QUALIFIED_FOR_SCREENING,A,BUDGET_AUTHORITY;CURRENT_TOOL_STACK;RECURRING_REVISION_PAIN;WILLINGNESS_TO_PAY,mb-src-0005;mb-src-0006;mb-src-0007;mb-src-0008;mb-src-0009;mb-src-0010,Birmingham-based boutique agency serving multiple SMB client brands with recurring organic social media posts and branded graphics.
mb-lead-003,neuelane,https://neuelane.com,neuelane.com,Miami,United States,2-9,Brandon Rodriguez,Founder & CEO,CONTACT_FORM,https://neuelane.com/social-media-marketing-agency-miami,QUALIFIED_FOR_SCREENING,A,BUDGET_AUTHORITY;CURRENT_TOOL_STACK;RECURRING_REVISION_PAIN;WILLINGNESS_TO_PAY,mb-src-0011;mb-src-0012;mb-src-0013;mb-src-0014,"Miami boutique creative and social agency providing social media management, graphic design, and content calendars for multiple brand clients."
mb-lead-004,Socialistics,https://socialistics.com,socialistics.com,Seattle,United States,8,Jason Yormark,Founder / Chief Social Officer,BOOKING_PAGE,https://socialistics.com/contact,QUALIFIED_FOR_SCREENING,A,BUDGET_AUTHORITY;CURRENT_TOOL_STACK;RECURRING_REVISION_PAIN;WILLINGNESS_TO_PAY,mb-src-0015;mb-src-0016;mb-src-0017;mb-src-0018,"Owner-led Seattle social media agency with 8 named team members producing recurring graphics, carousels, and calendars across multiple client brands."
mb-lead-005,Verti Marketing,https://vertimarketing.com,vertimarketing.com,New York,United States,2-9,Andrea Vert,Founder & Lead Strategist,BOOKING_PAGE,https://vertimarketing.com/services,QUALIFIED_FOR_SCREENING,A,BUDGET_AUTHORITY;CURRENT_TOOL_STACK;RECURRING_REVISION_PAIN;WILLINGNESS_TO_PAY,mb-src-0019;mb-src-0020;mb-src-0021;mb-src-0022,"New York boutique social agency led by husband-and-wife founders providing recurring organic social content, design, and scheduling across multiple client accounts."
mb-lead-006,Viral In Nature,https://www.viralinnature.com,viralinnature.com,Calgary,Canada,2-9,Shawn Michael Alain,Founder & President,CONTACT_FORM,https://www.viralinnature.com/contact,QUALIFIED_FOR_SCREENING,B,BUDGET_AUTHORITY;CURRENT_TOOL_STACK;OWNER_HANDS_ON_PRODUCTION;RECURRING_REVISION_PAIN;SMB_CLIENTELE;WILLINGNESS_TO_PAY,mb-src-0023;mb-src-0024;mb-src-0025;mb-src-0026;mb-src-0027,Calgary-based social media agency providing recurring organic content and multi-platform account management.
mb-lead-007,Cave Social,https://cavesocial.com,cavesocial.com,Los Angeles,United States,2-9,Jordan Scheltgen,Co-Founder & CEO,CONTACT_FORM,https://cavesocial.com/contact,QUALIFIED_FOR_SCREENING,A,BUDGET_AUTHORITY;CURRENT_TOOL_STACK;RECURRING_REVISION_PAIN;WILLINGNESS_TO_PAY,mb-src-0028;mb-src-0029;mb-src-0030;mb-src-0031,"Los Angeles boutique agency emphasizing senior hands-on team attention on organic social content, strategy, and community management across brand clients."
mb-lead-008,Social Amour Ltd,https://socialamour.com,socialamour.com,London,United Kingdom,2-9,Rhea Sophia Karo,Founder & Director,CONTACT_FORM,https://socialamour.com/contact,QUALIFIED_FOR_SCREENING,A,BUDGET_AUTHORITY;CURRENT_TOOL_STACK;RECURRING_REVISION_PAIN;WILLINGNESS_TO_PAY,mb-src-0032;mb-src-0033;mb-src-0034;mb-src-0035;mb-src-0036,"London boutique social media agency providing founder-led creative production, organic social management, and visual content for lifestyle and retail brands."
mb-lead-009,Swwim,https://www.weswwim.com,weswwim.com,Southsea,United Kingdom,9,Becky Shepherd,Director,CONTACT_FORM,https://www.weswwim.com/contact,QUALIFIED_FOR_SCREENING,A,BUDGET_AUTHORITY;CURRENT_TOOL_STACK;RECURRING_REVISION_PAIN;WILLINGNESS_TO_PAY,mb-src-0037;mb-src-0038;mb-src-0039;mb-src-0040;mb-src-0041,UK boutique agency with 9 named team members specializing in organic social media management and graphic content creation for consumer brands.
mb-lead-010,Soup Agency,https://soupagency.com.au,soupagency.com.au,Sydney,Australia,14,Katya Vakulenko,Founder & Managing Director,CONTACT_FORM,https://soupagency.com.au/free-digital-strategy-consultation,QUALIFIED_FOR_SCREENING,A,BUDGET_AUTHORITY;CURRENT_TOOL_STACK;RECURRING_REVISION_PAIN;WILLINGNESS_TO_PAY,mb-src-0042;mb-src-0043;mb-src-0044;mb-src-0045;mb-src-0046,"Sydney-based boutique agency with 14 team members providing organic social media management, static and carousel creative production across diverse brand clients."
mb-lead-011,Clavis Social,https://clavis.ca,clavis.ca,Toronto,Canada,2-9,Nick Farnborough,Co-Founder & Head of Strategy,BOOKING_PAGE,https://clavis.ca/contact.html,QUALIFIED_FOR_SCREENING,A,BUDGET_AUTHORITY;CURRENT_TOOL_STACK;RECURRING_REVISION_PAIN;WILLINGNESS_TO_PAY,mb-src-0047;mb-src-0048;mb-src-0049;mb-src-0050;mb-src-0051,"Toronto-based boutique social media agency co-founded by Nick Farnborough and Sonja Missio providing recurring organic content, static visuals, and community management."
mb-lead-012,Clique Social Media,https://cliquesocial.com.au,cliquesocial.com.au,Fortitude Valley,Australia,2-9,Ashlee Stevenson,Founder & Director,CONTACT_FORM,https://cliquesocial.com.au/contact,QUALIFIED_FOR_SCREENING,A,BUDGET_AUTHORITY;CURRENT_TOOL_STACK;RECURRING_REVISION_PAIN;WILLINGNESS_TO_PAY,mb-src-0052;mb-src-0053;mb-src-0054;mb-src-0055;mb-src-0056,"Brisbane-based boutique agency led by Ashlee Stevenson delivering monthly content strategy, graphic design, and organic social retainers across consumer brands."
mb-lead-013,OggaDoon Limited,https://oggadoon.co.uk,oggadoon.co.uk,Bristol,United Kingdom,2-9,Caroline Rose Macdonald,Founder & CEO,BOOKING_PAGE,https://oggadoon.co.uk/contact-oggadoon,QUALIFIED_FOR_SCREENING,A,BUDGET_AUTHORITY;CURRENT_TOOL_STACK;RECURRING_REVISION_PAIN;WILLINGNESS_TO_PAY,mb-src-0057;mb-src-0058;mb-src-0059;mb-src-0060,"Bristol-based boutique digital agency led by Caroline Macdonald providing recurring organic social media management, visual assets, and content calendars."
